conversation_id,key_issue,key_resolution
1000,Delayed package tracking update.,Tracking information delay due to a technical issue; package is in transit.
1001,Positive feedback on Lymington store staff.,Positive feedback given; no issue to resolve.
1002,Out of stock vegan protein bars.,Out of stock; email notification added.
1003,Reason for contacting support:  To compliment the fast delivery.,Positive feedback; no issue.
1004,Lost order.,Replacement order issued.
1005,Expressing positive feedback.,Positive feedback; no issue resolution needed.
1006,Unresolved follow-up on faulty protein shake.,Issue escalation to head office; follow-up within 24 hours.
1007,Incorrect order received.,"Incorrect order received; correct items will be sent, customer can keep incorrect items."
1008,Positive feedback on online order and products.,Positive feedback; no issue resolution needed.
1009,Inquiry about vitamin offers.,Upcoming BOGO 50% off vitamins sale.
1010,Positive feedback on Nottingham store staff.,Positive feedback given; no issue to resolve.
1011,"Website description mismatch: loose leaf tea ordered, tea bags received.",Replacement of mislabeled tea sent.
1012,Short expiry date on Vitamin D tablets.,New vitamin D batch sent.
1013,Lost delivery.,"Order reshipped, expedited shipping."
1014,Delayed vitamin delivery.,Tracking number provided for delayed order.
1015,Reason for contact: Complimenting store staff.,Positive feedback; excellent store service.
1016,Uninformed store staff.,Feedback provided; staff training requested.
1017,Out-of-stock item in online order.,Entire order cancelled; refund issued.
1018,Delayed order.,Order delayed due to courier error; expedited reshipment and voucher offered.
1019,"Damaged package, fruit spilled.",Replacement order sent.
1020,Ineffective magnesium supplement.,Consult healthcare provider.
1021,Order delay.,Order delayed; expedited dispatch promised.
1022,Out-of-stock items.,Out of stock; email notification set up.
1023,Inconsistent application of a buy-one-get-one-free offer.,Discount code offered for next online purchase.
1024,Account lockout due to password issue.,Password reset.
1025,Difficulty canceling subscription.,Subscription canceled.
1026,Buy one get one half price promotion not applying.,Promotion not applicable to selected brand.
1027,Incorrect delivery address.,Redelivery arranged.
1028,Voucher code not working.,Voucher activated.
1029,Damaged oat package.,Damaged oats replaced.
1030,Courier issue with order.,"Replacement order sent, 15% discount offered."
1031,Order cancellation due to discount issue.,Order cancellation due to discount issue; items will be sent.
1032,Delayed order tracking.,Order shipping delay resolved; expedited shipping.
1033,Inquiry about discounts on Echinacea tablets.,Buy One Get One Half Price offer applied.
1034,Messy organic food section in Nottingham store.,Feedback noted; store manager informed.
1035,Missing order confirmation email.,Order confirmed; email confirmation issue resolved.
1036,Discolored spirulina powder return.,Return authorized.
1037,Fatigue and seeking supplement recommendations.,Recommended B-complex vitamins and iron supplements.
1038,Authenticity of Manuka honey purchase.,Honey authenticity confirmed.
1039,Incorrect order fulfillment.,Incorrect order collected; correct item will be available for collection tomorrow.
1040,No issue; complimenting the store.,Positive feedback; no issue.
1041,Lack of follow-up on a product issue.,Issue escalation; follow-up promised within 24 hours.
1042,Positive feedback on Sheffield staff.,Positive feedback; no resolution needed.
1043,Price increase of Vitamin D supplements.,Price increase explained; promotion notification offered.
1044,Incorrect order received.,Incorrect order received; replacement shipped.
1045,Racial profiling by manager.,Investigation into racial profiling allegation at Fleet branch.
1046,Late delivery of subscription order.,Shipping delay; arrival expected in 2-3 days; 15% discount on next order.
1047,Incorrect order received.,"Incorrect order shipped; correct order resent, customer keeps incorrect items."
1048,Missing product information online.,Provided usage instructions for herbal tea.
1049,Hidden delivery charges.,Feedback provided; no resolution offered.
1050,Positive feedback on order fulfillment speed.,Positive feedback; no issue requiring resolution.
1051,Dosage instructions for supplements.,Dosage instructions provided.
1052,Expressing gratitude for a sale.,Positive feedback; no issue.
1053,"Website navigation issues (slow loading, missing products).",Phone order placed due to website issues.
1054,Misleading BOGOF signage.,Refund issued for misapplied BOGOF offer.
1055,Double credit card charge.,Duplicate credit card charge refunded.
1056,Complimenting Birmingham store staff.,Positive feedback; no issue resolution needed.
1057,Product out of stock in local store.,Product out of stock in-store; online purchase suggested.
1058,Product out of stock in store.,Product out of stock in store; online order offered.
1059,Expired vegan chocolate chips in order.,"Replacement item sent, 20% discount offered."
1060,Seeking bone health supplement recommendation.,Recommendation of vegan-friendly calcium and vitamin D tablets available at Meadowhall store.
1061,"Dairy-free chocolate bar contained milk, causing allergic reaction.",Refund issued; quality control investigation initiated.
1062,Unexpected delivery charge.,Feedback provided; issue acknowledged but not resolved.
1063,Store closure affecting order pickup.,Home delivery arranged.
1064,Protein powder tasted bad; requested exchange.,Product exchange for a different flavor.
1065,Missed follow-up call after allergic reaction.,Issue escalation; callback promised within 24 hours.
1066,Returning unwanted skincare products.,In-store return authorized.
1067,Out-of-stock product (Himalayan pink salt).,Product out of stock in store; online purchase suggested.
1068,Positive feedback on Sheffield store staff.,Positive feedback given; no issue to resolve.
1069,Messy store display.,Feedback provided; store organization issue noted.
1070,Missing Iron tablet delivery.,Order delayed due to stock issues; notification set up.
1071,Damaged/broken supplement bottle in online order.,Replacement bottle and refund issued.
1072,App tracking issue.,Order is out for delivery; app tracking issue acknowledged.
1073,Unresolved product return/refund.,Issue escalation; callback promised within 24 hours.
1074,Protein powder taste change.,Formula change; alternative product offered.
1075,Allergic reaction to cream.,Refund issued.
1076,Missing rewards points.,Manually added rewards points.
1077,Dosage clarification for Vitamin D3 supplement.,"Increase Vitamin D3 intake to two capsules daily for a few weeks, then recheck levels."
1078,Request for vitamin D supplement recommendation.,Product recommendation (Vitamin D3 supplement).
1079,Poor store lighting.,Feedback forwarded to store manager.
1080,Concern about tea expiration dates.,Expiration dates confirmed as valid.
1081,Positive feedback on Glasgow store staff's gluten-free product assistance.,Positive feedback; excellent staff assistance with gluten-free products.
1082,Expired product purchased.,Full refund issued.
1083,Positive feedback on online ordering process.,Positive feedback; no issues.
1084,Seeking weight loss product recommendation.,Product recommendation: Holland & Barrett Green Tea Extract Capsules.
